Romania,ROU,46,25,7.503163349,4.040518655,4.005210952,3.922213561,4.212926221,4.074315455,3.550167079,3.516153691
Russian Federation,RUS,60,100,..,10.62712053,11.02385623,11.69434812,12.334881,12.78497902,12.39355647,11.85752777
Rwanda,RWA,-2,30,0.075004305,0.06579461,0.057702041,0.057616483,0.063115492,0.068317457,0.072576777,0.074016446
Samoa,WSM,-13.5833,-172.3333,0.63043238,0.819042437,1.011854393,1.004360785,1.074707591,1.046639957,1.038064134,1.029788341
Sao Tome and Principe,STP,1,7,0.418559525,0.34393172,0.536698026,0.566490823,0.574250559,0.621562806,0.607752145,0.59433982
Saudi Arabia,SAU,25,45,11.38024918,14.30027275,17.58961186,18.9053425,17.70230724,19.41950578,18.06835808,19.5292718
Senegal,SEN,14,-14,0.421270162,0.398455815,0.365212359,0.599610304,0.629136954,0.577471339,0.596523237,0.608809117
Serbia,SRB,44,21,..,..,6.308347973,6.302577983,6.803677141,6.120600182,6.265110693,5.282521917
Seychelles,SYC,-4.5833,55.6667,2.163048326,7.050966955,6.006792825,4.942709146,3.900126943,4.983296151,4.484430066,5.418677963
Sierra Leone,SLE,8.5,-11.5,0.113099067,0.093195513,0.103438844,0.112416392,0.135882766,0.152292538,0.172170095,0.184925702
Singapore,SGP,1.3667,103.8,14.60237955,12.16662434,11.21442253,10.96040878,8.72379742,6.846758465,10.31198193,10.30633191
Slovak Republic,SVK,48.6667,19.5,..,6.659329488,6.319073237,6.721959562,6.395396289,6.059022901,6.11280356,5.661581328
Slovenia,SVN,46,15,..,7.23840366,7.491602314,7.485854369,7.350637628,7.185481044,6.869551393,6.213686845
Solomon Islands,SLB,-8,159,0.47036942,0.364381291,0.376591568,0.375183312,0.36696231,0.359033309,0.357906561,0.350449345
Somalia,SOM,10,49,0.099143652,0.053307232,0.051052401,0.050807075,0.048776172,0.047691373,0.046352865,0.045046723
